Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
0.821929	2	1	0	1	63.3547
0.822929	2	1	0	0	63.6415
0.822929	2	1	0	1	63.3547
0.823929	2	1	0	0	63.6415
0.823929	2	1	0	1	63.3547
0.824929	2	1	0	0	63.6415
0.824929	2	1	0	1	63.3547
0.825929	2	1	0	0	63.6415
0.825929	2	1	0	1	63.3547
0.826929	2	1	0	0	63.6415
0.826929	2	1	0	1	63.3547
0.827929	2	1	0	0	63.6415
0.827929	2	1	0	1	63.3547
0.828929	2	1	0	0	63.6415
0.828929	2	1	0	1	63.3547
0.829929	2	1	0	0	63.6415
0.829929	2	1	0	1	63.3547
0.830929	2	1	0	0	63.6415
0.830929	2	1	0	1	63.3547
0.831929	2	1	0	0	63.6415
0.831929	2	1	0	1	63.3547
0.832929	2	1	0	0	63.6415
0.832929	2	1	0	1	63.3547
0.833929	2	1	0	0	63.6415
0.833929	2	1	0	1	63.3547
0.834929	2	1	0	0	63.6415
0.834929	2	1	0	1	63.3547
0.835929	2	1	0	0	63.6415
0.835929	2	1	0	1	63.3547
0.836929	2	1	0	0	63.6415
0.836929	2	1	0	1	63.3547
0.837929	2	1	0	0	63.6415
0.837929	2	1	0	1	63.3547
0.838929	2	1	0	0	63.6415
0.838929	2	1	0	1	63.3547
0.839929	2	1	0	0	63.6415
0.839929	2	1	0	1	63.3547
0.840929	2	1	0	0	63.6415
0.840929	2	1	0	1	63.3547
0.841929	2	1	0	0	63.6415
0.841929	2	1	0	1	63.3547
0.842929	2	1	0	0	63.6415
0.842929	2	1	0	1	63.3547
0.843929	2	1	0	0	63.6415
0.843929	2	1	0	1	63.3547
0.844929	2	1	0	0	63.6415
0.844929	2	1	0	1	63.3547
0.845929	2	1	0	0	63.6415
0.845929	2	1	0	1	63.3547
0.846929	2	1	0	0	63.6415
0.846929	2	1	0	1	63.3547
0.847929	2	1	0	0	63.6415
0.847929	2	1	0	1	63.3547
0.848929	2	1	0	0	63.6415
0.848929	2	1	0	1	63.3547
0.849929	2	1	0	0	63.6415
0.849929	2	1	0	1	63.3547
0.850929	2	1	0	0	63.6415
0.850929	2	1	0	1	63.3547
0.851929	2	1	0	0	63.6415
0.851929	2	1	0	1	63.3547
0.852929	2	1	0	0	63.6415
0.852929	2	1	0	1	63.3547
0.853929	2	1	0	0	63.6415
0.853929	2	1	0	1	63.3547
0.854929	2	1	0	0	63.6415
0.854929	2	1	0	1	63.3547
0.855929	2	1	0	0	63.6415
0.855929	2	1	0	1	63.3547
0.856929	2	1	0	0	63.6415
0.856929	2	1	0	1	63.3547
0.857929	2	1	0	0	63.6415
0.857929	2	1	0	1	63.3547
0.858929	2	1	0	0	63.6415
0.858929	2	1	0	1	63.3547
0.859929	2	1	0	0	63.6415
0.859929	2	1	0	1	63.3547
0.860929	2	1	0	0	63.6415
0.860929	2	1	0	1	63.3547
0.861929	2	1	0	0	63.6415
0.861929	2	1	0	1	63.3547
0.862929	2	1	0	0	63.6415
0.862929	2	1	0	1	63.3547
0.863929	2	1	0	0	63.6415
0.863929	2	1	0	1	63.3547
0.864929	2	1	0	0	63.6415
0.864929	2	1	0	1	63.3547
0.865929	2	1	0	0	63.6415
0.865929	2	1	0	1	63.3547
0.866929	2	1	0	0	63.6415
0.866929	2	1	0	1	63.3547
0.867929	2	1	0	0	63.6415
0.867929	2	1	0	1	63.3547
0.868929	2	1	0	0	63.6415
0.868929	2	1	0	1	63.3547
0.869929	2	1	0	0	63.6415
0.869929	2	1	0	1	63.3547
0.870929	2	1	0	0	63.6415
0.870929	2	1	0	1	63.3547
0.871929	2	1	0	0	63.6415
0.871929	2	1	0	1	63.3547
0.872929	2	1	0	0	63.6415
0.872929	2	1	0	1	63.3547
0.873929	2	1	0	0	63.6415
0.873929	2	1	0	1	63.3547
0.874929	2	1	0	0	63.6415
0.874929	2	1	0	1	63.3547
0.875929	2	1	0	0	63.6415
0.875929	2	1	0	1	63.3547
0.876929	2	1	0	0	63.6415
0.876929	2	1	0	1	63.3547
0.877929	2	1	0	0	63.6415
0.877929	2	1	0	1	63.3547
0.878857	2	1	0	0	63.6415
0.878857	2	1	0	1	63.3547
0.879929	2	1	0	0	63.6415
0.879929	2	1	0	1	63.3547
0.880929	2	1	0	0	63.6415
0.880929	2	1	0	1	63.3547
0.881929	2	1	0	0	63.6415
0.881929	2	1	0	1	63.3547
0.882929	2	1	0	0	63.6415
0.882929	2	1	0	1	63.3547
0.883929	2	1	0	0	63.6415
